study_id,study,study_no,study_count,doi,pub_year,pub_title,pub_journal,university_list,university_count,investigation_cat,nation_list,nation_list_count,nation_var,nation_var_count,us_state_list,us_state_list_count,us_state_var,us_state_var_count,uk_country_list,uk_country_list_count,uk_country_var,uk_country_var_count,strategy_list,approach_cat (process),target_list,breadth_cat (outcome),design,principal_indicator_list,principal_indicator_list_count,principal_indicator_var,principal_indiactor_var_count,accessory_indicator_list,accessory_indicator_list_count,accessory_indicator_var,accessory_indicator_var_count,qualifying_indicator_list,qualifying_indicator_list_count,qualifying_indicator_var,qualifying_indicator_var_count,spillover_monitoring_list,spillover_monitoring_list_count,spillover_monitoring_var,spillover_monitoring_var_count,intention_behavior_monitoring
78,"(Null et al., 2024)",1,1,10.1007/s13412-023-00882-1,2024,Beyond the classroom: Influence of a sustainability intervention on university students' environmental knowledge and behaviors,Journal of Environmental Studies and Sciences,Southern Illinois University Carbondale*,1,Single-site,USA,1,USA,1,Illinois,1,Illinois,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Environmental Nudge (Promotion),Environment,Organizational,Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Campus Culture; Campus Culture; Campus Culture,3,Campus Culture,1,Demographics; Demographics; Demographics; Demographics; Demographics; Lifestyle; Lifestyle; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception,14,Demographics; Lifestyle; Program Reception,3,Behavioral; Behavioral,2,Behavioral,1,NA
79,"(O'Brien et al., 2016)",1,1,10.1016/j.eatbeh.2016.08.012,2015,Eficacy of a brief web-based intervention with and without SMS to enhance healthy eating behaviors among university students,Eating Behaviors,Boston University*,1,Single-site,USA,1,USA,1,Massachusetts,1,Massachusetts,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Dietary Health; Dietary Health; Dietary Health,3,Dietary Health,1,Demographics; Demographics; Demographics,3,Demographics,1,NA,0,NA,0,NA
80,"(O'Donnell et al., 2014)",1,1,10.1016/j.jneb.2014.03.005,2014,The effect of goal setting on fruit and vegetable consumption and physical activity level in a Web-based intervention,Journal of Nutrition Education and Behavior,Michigan State University; Pennsylvania State University; South Dakota State University; Syracuse University; Tuskegee University; University of Maine; University of Rhode Island;  University of Wisconsin-Madison,8,Multi-site,USA; USA; USA; USA; USA; USA; USA; USA,8,USA,1,Alabama; Maine; Michigan; New York; Pennsylvania; Rhode Island; South Dakota; Wisconsin,8,Alabama; Maine; Michigan; New York; Pennsylvania; Rhode Island; South Dakota; Wisconsin,8,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Within,Intended Food Choice; Self-Reported Food Choice,2,Intended Food Choice; Self-Reported Food Choice,2,Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture,6,Campus Culture,1,Demographics; Demographics; Demographics,3,Demographics,1,Behavioral,1,Behavioral,1,Yes
81,"(O'Neal et al., 2022)",1,1,10.1016/j.jneb.2022.05.004,2022,Pilot intervention using food challenges and video technology for promoting fruit and vegetable consumption,Journal of Nutrition Education and Behavior,University of Louisville*,1,Single-site,USA,1,USA,1,Kentucky,1,Kentucky,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Campus Culture; Campus Culture,2,Campus Culture,1,Demographics; Demographics; Demographics; Demographics; Lifestyle,5,Demographics; Lifestyle,2,NA,0,NA,0,NA
82,"(Papadaki & Scott, 2005)",1,1,10.1079/bjn20051476,2005,The Mediterranean eating in Scotland experience project: Evaluation of an Internet-based intervnetion promoting the Mediterranean diet,British Journal of Nutrition,University of Glasgow,1,Single-site,UK,1,UK,1,NA,0,NA,0,Scotland,1,Scotland,1,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health,22,Campus Culture; Dietary Health,2,Demographics; Demographics; Demographics; Demographics; Demographics; Lifestyle; Lifestyle; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception,19,Demographics; Lifestyle; Program Reception,3,Behavioral,1,Behavioral,1,Yes
83,"(Pechey et al., 2022)",1,1,10.1186/s12966-021-01239-z,2022,Impact of increasing the relative availability of meat-free options on food selection: two natural field experiments and an online randomised trial,International Journal of Behavioral Nutrition and Physical Activity,University of Oxford,1,Single-site,UK,1,UK,1,NA,0,NA,0,England,1,England,1,Availability,Choice Architecture,Environment,Organizational,Between and Within,Observed Food Choice,1,Observed Food Choice,1,Campus Culture; Operating Costs,2,Campus Culture; Operating Costs,2,NA,0,NA,0,Contextual,1,Contextual,1,NA
84,"(Petroka et al., 2016)",1,1,10.1080/07315724.2015.1118652,2016,Short-term exposure to a Mediterranean environment influences attitudes and dietary profile in U.S. college students: The MEDiterranean Diet in AMEricans (A-MED-AME) pilot study,Journal of American College Health,Florence University of the Arts,1,Single-site,Italy,1,Italy,1,NA,0,NA,0,NA,0,NA,0,"Availability; Knowledge Skills, and Beliefs",Multimodal,Agent; Environment,Multi-level,Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Campus Culture; Dietary Health; Dietary Health,3,Campus Culture; Dietary Health,2,Demographics; Demographics; Demographics; Demographics; Lifestyle; Lifestyle; Program Reception; Program Reception; Program Reception; Situational,10,Demographics; Lifestyle; Program Reception; Situational,4,Behavioral,1,Behavioral,1,NA
85,"(Piester et al., 2020)",1,2,10.1016/j.appet.2020.104842,2020,"""I'll try the veggie burger"": Increasing purhases of sustainable foods with information about sustainability and taste",Appetite,University of Virginia*,1,Single-site,USA,1,USA,1,Virginia,1,Virginia,1,NA,0,NA,0,Environmental Nudge (Label),Choice Architecture,Environment,Organizational,Between,Intended Food Choice; Observed Food Choice,2,Intended Food Choice; Observed Food Choice,2,Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Sustainability of Guest Food Choices,7,Campus Culture; Sustainability of Guest Food Choices,2,Demographics; Demographics,2,Demographics,1,Behavioral,1,Behavioral,1,Yes
86,"(Piester et al., 2020)",2,2,10.1016/j.appet.2020.104842,2020,"""I'll try the veggie burger"": Increasing purhases of sustainable foods with information about sustainability and taste",Appetite,University of Virginia*,1,Single-site,USA,1,USA,1,Virginia,1,Virginia,1,NA,0,NA,0,Environmental Nudge (Promotion),Conscious Processes,Environment,Organizational,Between,Intended Food Choice; Observed Food Choice,2,Intended Food Choice; Observed Food Choice,2,Campus Culture,1,Campus Culture,1,Demographics; Demographics,2,Demographics,1,Behavioral,1,Behavioral,1,Yes
87,"(Pietersma et al., 2011)",1,1,10.1111/j.2044-8287.2011.02018.x,2011,Do behavioural health intentions engender health behaviour change? A study on the moderating role of self-affirmation on actual fruit intake versus veegetable intake,British Journal of Health Psychology,University of Groningen,1,Single-site,Netherlands,1,Netherlands,1,NA,0,NA,0,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between,Intended Food Choice; Self-Reported Food Choice,2,Intended Food Choice; Self-Reported Food Choice,2,Campus Culture,1,Campus Culture,1,Demographics; Lifestyle,2,Demographics; Lifestyle,2,Temporal,1,Temporal,1,Yes
88,"(Prunty & Apple, 2013)",1,1,10.2752/175303713X13636846944367,2013,Painfully aware: The effects of dissonance on attitudes toward factory farming,Anrthozoös,James Madison University*,1,Single-site,USA,1,USA,1,Virginia,1,Virginia ,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between,Intended Food Choice; Self-Reported Food Choice,2,Intended Food Choice; Self-Reported Food Choice,2,Campus Culture; Campus Culture; Campus Culture,3,Campus Culture,1,Demographics; Demographics,2,Demographics,1,NA,0,NA,0,NA
89,"(Richard et al., 2006)",1,1,10.1016/j.jada.2006.06.005,2006,Motivating 18- to 24-year-olds to increase their fruit and vegetable consumption,Journal of the American Dietetic Association,South Dakota State University*,1,Single-site,USA,1,USA,1,South Dakota,1,South Dakota,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Intended Food Choice; Self-Reported Food Choice,2,Intended Food Choice; Self-Reported Food Choice,2,Campus Culture; Campus Culture,2,Campus Culture,1,Demographics; Demographics; Demographics; Demographics; Lifestyle,5,Demographics; Lifestyle,2,NA,0,NA,0,Yes
90,"(Ring et al., 2019)",1,1,10.1089/acm.2018.0313,2019,Cooking Up Health: A novel culinary medicine and service learning elective for health professional students,Journal of Alternative and Complementary Medicine,Northwestern University,1,Single-site,USA,1,USA,1,Illinois,1,Illinois,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture,14,Campus Culture,1,Demographics; Demographics; Demographics; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception,12,Demographics; Program Reception,2,Behavioral; Behavioral,2,Behavioral,1,NA
91,"(Rompotis et al., 2014)",1,1,10.1111/1753-6405.12232,2014,Benefits of habit-based informational interventions: A randomised controlled trial of fruit and vegetable consumption,Australia and New Zealand Journal of Public Health,University of Western Australia,1,Single-site,Australia,1,Australia,1,NA,0,NA,0,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Campus Culture; Campus Culture; Campus Culture,3,Campus Culture,1,Demographics; Demographics; Demographics; Lifestyle; Lifestyle; Lifestyle; Program Reception,7,Demographics; Lifestyle; Program Reception,3,NA,0,NA,0,NA
92,"(Schneider et al., 2021)",1,2,10.3390/ijerph181910443,2021,Environmental intervention in a university canteen with a focus on decision guidance-effects on sale and daily consumption of vegetables and fruit,International Journal of Environmental Research and Public Health,University of Education Scwäbisch Gmünd,1,Single-site,Germany,1,Germany,1,NA,0,NA,0,NA,0,NA,0,Availability; Environmental Nudge (Price); Environmental Nudge (Procedure); Environmental Nudge (Promotion); Environmental Nudge (Label),Multimodal,Agent; Environment,Multi-level,Within,Observed Food Choice,1,Observed Food Choice,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
93,"(Schneider et al., 2021)",2,2,10.3390/ijerph181910443,2021,Environmental intervention in a university canteen with a focus on decision guidance-effects on sale and daily consumption of vegetables and fruit,International Journal of Environmental Research and Public Health,University of Education Scwäbisch Gmünd,1,Single-site,Germany,1,Germany,1,NA,0,NA,0,NA,0,NA,0,Availability; Environmental Nudge (Price); Environmental Nudge (Procedure); Environmental Nudge (Promotion); Environmental Nudge (Label),Multimodal,Agent; Environment,Multi-level,Between and Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,NA,0,NA,0,Demographics; Demographics; Demographics; Demographics; Lifestyle; Lifestyle; Program Reception,7,Demographics; Lifestyle; Program Reception,3,NA,0,NA,0,NA
94,"(Schroeter et al., 2021)",1,1,10.1080/07448481.2019.1661845,2021,An incentive-based health program using MyPlate: A pilot study analyzing college students' dietary intake behavior,Journal of American College Health,California Polytechnic State University*,1,Single-site,USA,1,USA,1,California,1,California,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Campus Culture; Dietary Health,2,Campus Culture; Dietary Health,2,Demographics; Demographics; Demographics; Demographics; Demographics; Lifestyle,6,Demographics; Lifestyle ,2,NA,0,NA,0,NA
95,"(Schwitzgebel et al., 2020)",1,1,10.1016/j.cognition.2020.104397,2020,Do ethics classes influence student behavior? Case study: Teaching the ethics of eating meat,Cognition,"University of California, Riverside",1,Single-site,USA,1,USA,1,California,1,California,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Intended Food Choice; Observed Food Choice,2,Intended Food Choice; Observed Food Choice,2,Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Operating Costs; Operating Costs,16,Campus Culture; Operating Costs,2,Program Reception; Program Reception; Situational; Situational,4,Program Reception; Situational,2,Temporal,1,Temporal,1,Yes
96,"(Schwitzgebel et al., 2021)",1,1,10.1007/s13164-021-00583-0,2021,Students eat less meat after studying meat ethics,Review of Philosophy and Psychology,"University of California, Riverside",1,Single-site,USA,1,USA,1,California,1,California,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Intended Food Choice; Observed Food Choice,2,Intended Food Choice; Observed Food Choice,2,Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture,5,Campus Culture,1,Program Reception; Program Reception; Situational; Situational,4,Program Reception; Situational,2,NA,0,NA,0,Yes
97,"(Scourboutakos et al., 2017)",1,1,10.1016/j.jneb.2017.02.003,2017,Testing a beverage and fruit/vegetable education intervention in a university dining hall,Journal of Nutrition Education and Behavior,University of Toronto,1,Single-site,Canada,1,Canada,1,NA,0,NA,0,NA,0,NA,0,Environmental Nudge (Promotion),Conscious Processes,Environment,Organizational,Within,Observed Food Choice; Observed Food Choice,2,Observed Food Choice,1,Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture,23,Campus Culture,1,Demographics; Situational; Situational,3,Demographics; Situational,2,Behavioral; Behavioral; Behavioral; Behavioral,4,Behavioral,1,NA
98,"(Slapø & Karevold, 2019)",1,1,10.3389/fsufs.2019.00040,2019,Simple eco-labels to nudge customers toward the most environmentally friendly warm dishes: An empirical study in a cafeteria setting,Frontiers in Sustainable Food Systems,University of Oslo,1,Single-site,Norway,1,Norway,1,NA,0,NA,0,NA,0,NA,0,Environmental Nudge (Label),Conscious Processes,Environment,Organizational,Within,Observed Food Choice,1,Observed Food Choice,1,Sustainability of Guest Food Choices; Sustainability of Guest Food Choices; Sustainability of Guest Food Choices,3,Sustainability of Guest Food Choices,1,NA,0,NA,0,NA,0,NA,0,NA
99,"(Sogari et al., 2022)",1,1,10.1016/j.meatsci.2022.108745,2022,Toward a reduced meat diet: University North American students' acceptance of a blended meat-mushroom burger ,Meat Science,Cornell University*,1,Single-site,USA,1,USA,1,New York,1,New York,1,NA,0,NA,0,"Availability; Knowledge Skills, and Beliefs",Multimodal,Agent; Environment,Multi-level,Between and Within,Intended Food Choice; Observed Food Choice; Self-Reported Food Choice,3,Intended Food Choice; Observed Food Choice; Self-Reported Food Choice,3,Campus Culture; Campus Culture; Campus Culture; Campus Culture; Guest Dining Experience; Guest Dining Experience; Guest Dining Experience,7,Campus Culture; Guest Dining Experience,2,Demographics; Demographics; Demographics; Situational,4,Demographics; Situational,2,Temporal,1,Temporal,1,Yes
100,"(Strawson et al., 2015)",1,1,10.3148/cjdpr-2015-008,2015,Changing dietary habits of alberta nutrition students enrolled in a travel study program in Italy,Canadian Journal of Dietetic Practice and Research,University of Alberta,1,Single-site,Canada,1,Canada,1,NA,0,NA,0,NA,0,NA,0,"Availability; Knowledge Skills, and Beliefs",Multimodal,Agent; Environment,Multi-level,Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health,8,Dietary Health,1,Demographics; Demographics,2,Demographics,1,Behavioral,1,Behavioral,1,NA
101,"(Turnwald et al., 2019)",1,1,10.1177/0956797619872191,2019,Increasing vegetable intake by emphasizing tasty and enjoyable attributes: A randomized controlled multisite intervention for taste-focused labelling,Pscyhological Science,Northeastern University; Rutgers University; Stanford University; University of North Texas; University of Southern California,5,Multi-site,USA; USA; USA; USA; USA,5,USA,1,California; California; Massachussetts; New Jersey; Texas,5,California; Massachusetts; New Jersey; Texas,4,NA,0,NA,0,Environmental Nudge (Label),Choice Architecture,Environment,Organizational,Between and Within,Observed Food Choice; Observed Food Choice,2,Observed Food Choice,1,Campus Culture ; Campus Culture,2,Campus Culture,1,Program Reception; Situational,2,Program Reception; Situational,2,Behavioral; Behavioral,2,Behavioral,1,NA
102,"(van den Bogerd et al., 2020)",1,1,10.1017/S1368980019003574,2020,A free-produce stand on campus: Impact on fruit and vegetable intake in Dutch university students,Public Health Nutrition,Vrije Universiteit Amsterdam*,1,Single-site,Netherlands,1,Netherlands,1,NA,0,NA,0,NA,0,NA,0,Availability; Environemtnal Nudge (Promotion),Multimodal,Environment,Organizatinoal,Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Campus Culture,1,Campus Culture,1,Demographics; Demographics; Demographics; Demographics; Demographics,5,Demographics,1,Temporal,1,Temporal,1,NA
103,"(Vasiljevic et al., 2024)",1,1,10.1016/j.foodqual.2023.105084,2024,Can warning labels communicating the environemntal impact of meat reduce meat consumption? Evidence from two multiple treatment reversal experiments in college dining halls,Food Quality and Preference,Durham University,1,Single-site,UK,1,UK,1,NA,0,NA,0,England,1,England,1,Environmental Nudge (Label); Environmental Nudge (Label),Choice Architecture,Environment,Organizational,Between and Within,Observed Food Choice,1,Observed Food Choice,1,Campus Culture,1,Campus Culture,1,Demographics; Demographics; Demographics; Demographics; Demographics; Demographics; Lifestyle; Lifestyle; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Situational; Situational; Situational; Situational; Situational; Situational;  ,31,Demographics; Lifestyle; Program Reception; Situational,4,Temporal,1,Temporal,1,NA
104,"(Walmsley et al., 2018)",1,1,10.1186/s12889-018-6063-8,2018,Choice architecture modifies fruit and vegetable purchasing in a university campus grocery store: Time series modelling of a nutral experiment,BMC Public health,University of Warwich,1,Single-site,UK,1,UK,1,NA,0,NA,0,England,1,England,1,Environmental Nudge (Procedure),Choice Architecture,Environment,Organizational,Within,Observed Food Choice,1,Observed Food Choice,1,Operating Costs; Operating Costs,2,Operating Costs,1,Situational,1,Situational,1,NA,0,NA,0,NA
105,"(Wansink & Just, 2015)",1,1,10.1017/s1368980013003066,2015,Trayless cafeterias lead dinmers to take less salad and relatively more dessert,Public Health Nutrition,Cornell University*,1,Single-site,USA,1,USA,1,New York,1,New York,1,NA,0,NA,0,Environmental Nudge (Procedure),Choice Architecture,Environment,Organizational,Within,Observed Food Choice,1,Observed Food Choice,1,Campus Culture; Campus Culture,2,Campus Culture,1,Demographics,1,Demographics,1,Behavioral; Behavioral,2,Behavioral,1,NA
106,"(Warsaw & Alfonso, 2020)",1,1,PMID:32659066,2020,The potential impact of hospital cafeterias on dietary habits: A case study of the University of Wisconsin hospitals and clinics,Wisconsin Medical Journal,University of Wisconsin,1,Single-site,USA,1,USA,1,Wisconsin,1,Wisconsin,1,NA,0,NA,0,Environmental Nudge (Price),Choice Architecture,Environment,Organizational,Within,Observed Food Choice,1,Observed Food Choice,1,Food Pricing; Operating Costs; Operating Costs,3,Food Pricing; Operating Costs,2,NA,0,NA,0,NA,0,NA,0,NA
107,"(Weingarten et al., 2022)",1,1,10.1016/j.foodqual.2021.104498,2022,Can information influence meat consumption behaviour? An experimental field study in the university canteen,Food Quality and Preference,University of Bonn*,1,Single-site,Germany,1,Germany,1,NA,0,NA,0,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Intended Food Choice; Observed Food Choice,2,Intended Food Choice; Observed Food Choice,2,Campus Culture; Campus Culture,2,Campus Culture,1,Demographics; Demographics; Program Reception; Program Reception,4,Demographics; Program Reception,2,NA,0,NA,0,Yes
108,"(Wengreen et al., 2017)",1,1,10.1016/j.appet.2017.04.027,2017,The effect of social norms messaging regarding skin carotenoid concentrations among college students,Appetite,Utah State University,1,Single-site,USA,1,USA,1,Utah,1,Utah,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Campus Culture; Dietary Health; Dietary Health; Dietary Health; Dietary Health,5,Campus Culture; Dietary Health,2,Demographics; Demographics; Demographics,3,Demographics,1,Behavioral; Behavioral; Behavioral,3,Behavioral,1,NA
109,"(Whitener et al., 2021)",1,1,10.3389/fsufs.2021.677002,2021,"Impact of a college course on the sustainability of student diets in terms of the planetary boundaries for climate change and land, water, nitrogen, and phosphorus use",Frontiers in Sustainable Food Systems,"University of California, Los Angeles",1,Single-site,USA,1,USA,1,California,1,California,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Dietary Health; Sustainability of Guest Food Choices; Sustainability of Guest Food Choices; Sustainability of Guest Food Choices; Sustainability of Guest Food Choices; Sustainability of Guest Food Choices,6,Dietary Health; Sustainability of Guest Food Choices,2,Demographics; Lifestyle,2,Demographics; Lifestyle,2,NA,0,NA,0,NA
110,"(Wolstenholme et al., 2020)",1,1,10.3389/fpsyg.2020.577111,2020,"Two birds, one stone: The effectiveness of health and environmental messages to reduce meat consumption and encourage pro-environmental behavioral spillover",Frontiers in Psychology,Cardiff University*,1,Single-site,UK,1,UK,1,NA,0,NA,0,Wales,1,Wales,1,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Intended Food Choice; Self-Reported Food Choice,2,Intended Food Choice; Self-Reported Food Choice,2,Campus Culture; Campus Cuture; Campus Culture; Campus Cuture; Campus Culture; Campus Cuture; Campus Culture; Campus Cuture; Campus Culture; Campus Cuture; Campus Culture,11,Campus Culture,1,Demographics; Demographics; Demographics,3,Demographics,1,Temporal,1,Temporal,1,Yes
111,"(Yen & Lewis, 2013)",1,1,10.1016/j.nutres.2012.11.015,2013,MyPyramid-omega-3 fatty acid nutrition education intervention may improve food groups and omega-3 fatty acid consumption in university middle-aged women,Nutrition Research,University of Nebraska*,1,Single-site,USA,1,USA,1,Nebraska,1,Nebraska,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Campus Culture; Campus Culture; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health,15,Campus Culture; Dietary Health,2,Demographics; Demographics; Demographics; Demographics; Lifestyle; Lifestyle; Lifestyle; Lifestyle; Lifestyle,9,Demographics; Lifestyle,2,NA,0,NA,0,NA
112,"(Yi et al., 2022)",1,5,10.1016/j.appet.2022.105978,2022,Nudging food service users to choose fruit- and vegetable-rich items: Five field studies,Appetite,University of Guelph,1,Single-site,Canada,1,Canada,1,NA,0,NA,0,NA,0,NA,0,Environmental Nudge (Promotion); Environmental Nudge (Promotion),Choice Architecture,Environment,Organizatinoal,Within,Observed Food Choice,1,Observed Food Choice,1,NA,0,NA,0,Situational,1,Situational,1,NA,0,NA,0,NA
113,"(Yi et al., 2022)",2,5,10.1016/j.appet.2022.105978,2022,Nudging food service users to choose fruit- and vegetable-rich items: Five field studies,Appetite,University of Guelph,1,Single-site,Canada,1,Canada,1,NA,0,NA,0,NA,0,NA,0,Environmental Nudge (Promotion),Choice Architecture,Environment,Organizatinoal,Within,Observed Food Choice,1,Observed Food Choice,1,NA,0,NA,0,Situational,1,Situational,1,NA,0,NA,0,NA
114,"(Yi et al., 2022)",3,5,10.1016/j.appet.2022.105978,2022,Nudging food service users to choose fruit- and vegetable-rich items: Five field studies,Appetite,University of Guelph,1,Single-site,Canada,1,Canada,1,NA,0,NA,0,NA,0,NA,0,Environmental Nudge (Promotion),Choice Architecture,Environment,Organizatinoal,Within,Observed Food Choice,1,Observed Food Choice,1,NA,0,NA,0,Situational; Situational,2,Situational,1,NA,0,NA,0,NA
115,"(Yi et al., 2022)",4,5,10.1016/j.appet.2022.105978,2022,Nudging food service users to choose fruit- and vegetable-rich items: Five field studies,Appetite,University of Guelph,1,Single-site,Canada,1,Canada,1,NA,0,NA,0,NA,0,NA,0,Environmental Nudge (Procedure); Environmental Nudge (Promotion),Choice Architecture,Environment,Organizatinoal,Within,Observed Food Choice,1,Observed Food Choice,1,NA,0,NA,0,Situational,1,Situational,1,NA,0,NA,0,NA
116,"(Yi et al., 2022)",5,5,10.1016/j.appet.2022.105978,2022,Nudging food service users to choose fruit- and vegetable-rich items: Five field studies,Appetite,University of Guelph,1,Single-site,Canada,1,Canada,1,NA,0,NA,0,NA,0,NA,0,Environmental Nudge (Procedure); Environmental Nudge (Procedure),Choice Architecture,Environment,Organizatinoal,Within,Observed Food Choice,1,Observed Food Choice,1,Food Pricing,1,Food Pricing,1,NA,0,NA,0,NA,0,NA,0,NA
